ci,ad,prediction,std,q05,q95
0.0,0.0,38.487865262473015,3.765987805182067,30.891040497825028,41.57369583627515
25.641025641025642,0.0,46.001311531345074,3.740386707156583,37.75967949201123,48.133221892713344
51.282051282051285,0.0,56.90578810219471,6.147960849026053,46.93165097222983,65.1121633195844
76.92307692307693,0.0,77.20774975990815,4.275042129892758,69.88248497415837,81.75255312944456
102.56410256410257,0.0,81.83395554399281,3.978772432494914,76.55450064164111,88.17652753543672
128.2051282051282,0.0,88.55443825892326,4.144257274719843,81.60411561752295,92.46350339057145
153.84615384615387,0.0,88.86090292624718,4.026909124096627,82.37352202921343,93.07401035875878
179.4871794871795,0.0,95.80142685716851,4.628270731816817,85.76534086088067,98.59458506009982
205.12820512820514,0.0,95.9500117213844,4.527217566876557,86.56791259914465,98.97414307500549
230.76923076923077,0.0,96.40701374661538,4.600805903249785,86.94879811844338,99.35644015280971
256.4102564102564,0.0,96.43176055120487,4.632429271599755,87.10983813662904,99.54151356057943
282.05128205128204,0.0,96.72720476185413,4.690606538615503,89.13268192079022,101.96540235155406
307.69230769230774,0.0,104.44447008890872,6.066316602784872,95.6388486201915,112.38512337961897
333.33333333333337,0.0,104.56355870878862,5.963869048715033,95.97990325362566,112.44001252089384
358.974358974359,0.0,104.9847772831086,5.9747651721883015,96.57941131737648,113.26321659762255
384.61538461538464,0.0,105.01181895720647,6.106851625203994,97.02323792417447,114.17376261796231
410.2564102564103,0.0,121.07873935536367,7.415233854775691,107.05060402626411,128.25152358953332
435.8974358974359,0.0,121.07873935536367,7.415233854775688,107.05060402626412,128.25152358953332
461.53846153846155,0.0,123.52231695182488,8.528362355020302,109.19533728192026,133.73584415342884
487.1794871794872,0.0,123.52231695182489,8.528362355020304,109.19533728192026,133.73584415342884
512.8205128205128,0.0,123.52231695182488,8.528362355020299,109.19533728192026,133.73584415342881
538.4615384615385,0.0,123.56024753859141,8.510613281896456,109.56565854032112,133.87808797989575
564.1025641025641,0.0,123.5602475385914,8.562807003521966,109.56565854032114,134.16422321542723
589.7435897435897,0.0,125.28886195062896,8.829356909751331,110.16493655894143,135.2239064490502
615.3846153846155,0.0,125.58284582104626,8.869295465607307,111.03358950054826,135.84921494779888
641.0256410256411,0.0,145.49276786715168,11.20630314268124,125.73656541919135,156.91347390817683
666.6666666666667,0.0,152.3010927336661,11.004123625135836,131.36560745765905,161.823225891103
692.3076923076924,0.0,152.3671408553322,11.127300787380351,131.36560745765902,161.91798234448106
717.948717948718,0.0,153.60330920536197,10.329937517461081,135.15086305573274,162.74773745125125
743.5897435897436,0.0,160.50731266868996,12.052596411656976,137.57653476955264,169.93326061484785
769.2307692307693,0.0,161.79611109556458,11.55648013356838,140.6092751994696,170.37333613952757
794.8717948717949,0.0,161.93816581882717,11.415953930404,141.95782123520976,172.2073437880693
820.5128205128206,0.0,162.12330289747888,11.429933299565368,141.9457898012879,172.20734378806932
846.1538461538462,0.0,163.2052213437226,11.380646369869726,142.28193016705092,172.49637008154173
871.7948717948718,0.0,163.2052213437226,11.380646369869721,142.28193016705092,172.4963700815417
897.4358974358975,0.0,163.44503235948588,11.479360724407355,142.33354065795515,172.69388553315213
923.0769230769231,0.0,163.44503235948588,11.490794493292624,142.33354065795515,172.6938855331521
948.7179487179487,0.0,163.62066621993807,11.510811826242007,142.34241481525854,172.69388553315213
974.3589743589744,0.0,163.62066621993807,11.456542650515832,143.34216538508196,173.51591552329705
1000.0,0.0,163.62066621993807,11.456542650515825,143.34216538508198,173.51591552329705
0.0,57.142857142857146,38.487865262473015,3.765987805182069,30.891040497825028,41.57369583627515
25.641025641025642,57.142857142857146,46.001311531345074,3.7403867071565853,37.75967949201123,48.133221892713344
51.282051282051285,57.142857142857146,56.90578810219472,6.147960849026058,46.93165097222983,65.1121633195844
76.92307692307693,57.142857142857146,77.20774975990814,4.275042129892759,69.88248497415837,81.75255312944456
102.56410256410257,57.142857142857146,81.83395554399281,3.9787724324949143,76.55450064164111,88.17652753543672
128.2051282051282,57.142857142857146,88.55443825892326,4.144257274719841,81.60411561752295,92.46350339057145
153.84615384615387,57.142857142857146,88.86090292624718,4.026909124096622,82.37352202921345,93.07401035875878
179.4871794871795,57.142857142857146,95.80142685716851,4.628270731816817,85.76534086088067,98.59458506009982
205.12820512820514,57.142857142857146,95.95001172138439,4.527217566876551,86.56791259914465,98.97414307500547
230.76923076923077,57.142857142857146,96.40701374661538,4.600805903249784,86.94879811844338,99.35644015280971
256.4102564102564,57.142857142857146,96.43176055120486,4.632429271599756,87.10983813662905,99.54151356057943
282.05128205128204,57.142857142857146,96.72720476185414,4.6906065386155005,89.13268192079022,101.96540235155406
307.69230769230774,57.142857142857146,104.44447008890872,6.0663166027848705,95.63884862019151,112.38512337961897
333.33333333333337,57.142857142857146,104.56355870878865,5.9638690487150345,95.97990325362565,112.44001252089384
358.974358974359,57.142857142857146,104.98477728310861,5.974765172188301,96.57941131737647,113.26321659762255
384.61538461538464,57.142857142857146,105.01181895720647,6.106851625203998,97.02323792417447,114.17376261796231
410.2564102564103,57.142857142857146,121.07873935536367,7.415233854775689,107.05060402626412,128.25152358953332
435.8974358974359,57.142857142857146,121.07873935536367,7.415233854775688,107.05060402626412,128.25152358953332
461.53846153846155,57.142857142857146,123.52231695182488,8.5283623550203,109.19533728192026,133.73584415342884
487.1794871794872,57.142857142857146,123.52231695182488,8.528362355020306,109.19533728192026,133.73584415342884
512.8205128205128,57.142857142857146,123.52231695182488,8.528362355020297,109.19533728192026,133.73584415342881
