feature,x,prediction,std,q05,q95
ci,0.0,23.87517547607422,1.1854530941264287,22.955757522583006,26.276312637329102
ci,12.658227848101266,26.175947189331055,0.9534975457563456,25.15232210159302,27.847052097320557
ci,25.31645569620253,33.55154037475586,1.3262291611391617,31.538422775268554,35.14654674530029
ci,37.9746835443038,40.444679260253906,0.8084145945077738,39.065392684936526,41.45482864379883
ci,50.63291139240506,40.762203216552734,0.8958728346116349,39.50297603607178,42.03066215515137
ci,63.291139240506325,54.552825927734375,3.09745315446135,51.943738746643064,60.36752414703369
ci,75.9493670886076,61.11642837524414,1.6244970707891642,59.05364551544189,63.791347122192384
ci,88.60759493670886,64.98223114013672,1.9440276596162571,62.83892993927002,68.37078132629395
ci,101.26582278481013,65.04693603515625,1.6593062608175935,63.78583660125732,68.56893348693848
ci,113.92405063291139,69.74082946777344,1.5959525515534594,68.051558303833,72.5033016204834
ci,126.58227848101265,69.74082946777344,1.6409644024425647,68.051558303833,72.5033016204834
ci,139.2405063291139,69.74082946777344,1.6409644024425647,68.051558303833,72.5033016204834
ci,151.8987341772152,70.49542236328125,2.1727898223088418,70.51823654174805,76.14138793945312
ci,164.55696202531647,74.32437133789062,1.9482828515249984,74.39654083251953,79.62047996520997
ci,177.21518987341773,74.32437133789062,2.178374006284745,74.39654083251953,80.27946701049804
ci,189.873417721519,74.99604797363281,2.061195417157253,74.88246269226075,80.5145881652832
ci,202.53164556962025,75.73470306396484,2.000894993144845,75.35676078796386,80.93430252075196
ci,215.18987341772151,76.92668151855469,1.9242683046806632,76.46660804748535,82.05943298339844
ci,227.84810126582278,77.38241577148438,1.892240379535407,76.98838996887207,82.50375595092774
ci,240.50632911392404,77.38632202148438,1.9184388057956716,77.1316707611084,82.63146514892578
ci,253.1645569620253,77.38632202148438,1.905749410868203,77.13831405639648,82.64680480957031
ci,265.82278481012656,77.38632202148438,1.905749410868203,77.13831405639648,82.64680480957031
ci,278.4810126582278,77.67040252685547,1.9741358116197398,77.69810943603515,83.53050498962402
ci,291.1392405063291,77.67040252685547,1.9741358116197398,77.69810943603515,83.53050498962402
ci,303.7974683544304,84.67950439453125,2.6668292734999177,83.52158164978027,90.69395332336425
ci,316.45569620253167,84.7277603149414,2.603781083537026,83.88106842041016,90.75331039428711
ci,329.11392405063293,84.7277603149414,2.603781083537026,83.88106842041016,90.75331039428711
ci,341.7721518987342,84.7277603149414,2.603781083537026,83.88106842041016,90.75331039428711
ci,354.43037974683546,84.75367736816406,2.601245309889393,83.84259872436523,90.70698852539063
ci,367.0886075949367,84.75367736816406,2.601245309889393,83.84259872436523,90.70698852539063
ci,379.746835443038,84.78890991210938,2.5449248568394287,84.06367263793945,90.77944717407226
ci,392.40506329113924,86.49114227294922,2.11849923916206,86.48778381347657,92.07645454406739
ci,405.0632911392405,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,417.72151898734177,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,430.37974683544303,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,443.0379746835443,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,455.69620253164555,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,468.3544303797468,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,481.0126582278481,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,493.67088607594934,98.42093658447266,3.1987081947910108,91.97737121582031,100.82375259399414
ci,506.3291139240506,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,518.9873417721519,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,531.6455696202531,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,544.3037974683544,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,556.9620253164557,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,569.620253164557,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,582.2784810126582,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,594.9367088607595,99.16191864013672,3.0310045670355064,93.7352237701416,101.87032203674316
ci,607.5949367088608,100.77074432373047,3.260681458685926,95.10771369934082,104.04667472839355
ci,620.253164556962,100.77074432373047,3.260681458685926,95.10771369934082,104.04667472839355
ci,632.9113924050633,100.77074432373047,3.260681458685926,95.10771369934082,104.04667472839355
ci,645.5696202531645,100.77074432373047,3.260681458685926,95.10771369934082,104.04667472839355
ci,658.2278481012659,124.62275695800781,10.276696079283884,104.96016387939453,135.03728866577148
ci,670.8860759493671,124.62275695800781,10.276696079283884,104.96016387939453,135.03728866577148
ci,683.5443037974684,124.62275695800781,10.276696079283884,104.96016387939453,135.03728866577148
ci,696.2025316455696,124.62275695800781,8.703409766861743,109.30848045349121,135.03728866577148
ci,708.8607594936709,129.64768981933594,8.433751850242114,116.61204223632812,140.6181297302246
ci,721.5189873417721,129.64768981933594,8.433751850242114,116.61204223632812,140.6181297302246
ci,734.1772151898734,129.64768981933594,8.433751850242114,116.61204223632812,140.6181297302246
ci,746.8354430379746,129.64768981933594,8.433751850242114,116.61204223632812,140.6181297302246
ci,759.493670886076,137.1765594482422,9.797614064537315,120.21147232055664,147.3937629699707
ci,772.1518987341772,137.1765594482422,9.797614064537315,120.21147232055664,147.3937629699707
ci,784.8101265822785,137.1765594482422,9.797614064537315,120.21147232055664,147.3937629699707
ci,797.4683544303797,137.1765594482422,9.797614064537315,120.21147232055664,147.3937629699707
ci,810.126582278481,137.1765594482422,8.776552203726116,122.40248413085938,147.3937629699707
ci,822.7848101265823,137.1765594482422,8.776552203726116,122.40248413085938,147.3937629699707
ci,835.4430379746835,137.1765594482422,8.776552203726116,122.40248413085938,147.3937629699707
ci,848.1012658227849,137.1765594482422,8.776552203726116,122.40248413085938,147.3937629699707
ci,860.7594936708861,137.31492614746094,8.80289898205729,122.40248413085938,147.4510627746582
ci,873.4177215189874,137.31492614746094,8.80289898205729,122.40248413085938,147.4510627746582
ci,886.0759493670886,137.31492614746094,8.80289898205729,122.40248413085938,147.4510627746582
ci,898.7341772151899,137.31492614746094,8.80289898205729,122.40248413085938,147.4510627746582
ci,911.3924050632911,137.31492614746094,8.80289898205729,122.40248413085938,147.4510627746582
ci,924.0506329113924,137.31492614746094,8.795842704711925,122.44124832153321,147.4757278442383
ci,936.7088607594936,137.31492614746094,8.795842704711925,122.44124832153321,147.4757278442383
ci,949.367088607595,137.31492614746094,8.795842704711925,122.44124832153321,147.4757278442383
ci,962.0253164556962,137.31492614746094,8.795842704711925,122.44124832153321,147.4757278442383
ci,974.6835443037975,137.31492614746094,8.795842704711925,122.44124832153321,147.4757278442383
ci,987.3417721518987,137.31492614746094,8.795842704711925,122.44124832153321,147.4757278442383
ci,1000.0,137.31492614746094,8.283753422867838,123.88194198608399,147.6046905517578
ad,0.0,67.8039779663086,2.971391441811898,61.64309864044189,70.00671348571777
ad,168.53932584269663,59.15927505493164,2.905738684308738,57.933439064025876,65.18223648071289
ad,337.07865168539325,58.771183013916016,0.9756366755864208,57.37610034942627,60.20759334564209
ad,505.6179775280899,57.66779708862305,0.8892966787582471,56.42376556396484,59.018578910827635
ad,674.1573033707865,56.55581283569336,1.2055638165885976,55.83747806549072,58.99044322967529
ad,842.6966292134831,49.25887680053711,0.7119384801832148,49.07136783599854,51.148565673828124
ad,1011.2359550561798,49.99848175048828,0.7435685778558874,49.56563301086426,51.767981719970706
ad,1179.7752808988764,38.50974655151367,1.739960089926992,37.01726951599121,42.19978446960449
ad,1348.314606741573,38.59288024902344,1.740963579891912,37.013335609436034,42.192010688781735
