cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank,initial_screening_rank,second_model_name,second_model_q,second_global_rank
TIDQIG_clean,Zr,Unmodified,0,138.888,4.923708311733195,4.09301,0.170961,0.42,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,162.7651051989947,16,7,10,KNN,232.29461201187874,1
VIXGAM01_clean,Zr,Unmodified,0,203.613,4.731466065526268,5.20749,0.240847,0.4654,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,164.4153310933312,15,6,9,KNN,232.27864923184802,2
MAPFOY_clean,Ti,Unmodified,0,432.235,3.217564519300843,4.52682,0.347686,0.433,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,160.77398412865145,17,4,7,KNN,232.27314204734458,3
XIWYEH_clean,Ti,Unmodified,0,149.859,3.7547027539220195,4.26164,0.140669,0.3304,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,156.85275233791896,18,5,8,KNN,232.26761380118216,4
WOXROQ_clean,Ti,Unmodified,0,79.0,6.724962025316455,3.84162,0.132818,0.3394,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,131.90250008362,26,6,10,KNN,232.2648252744093,5
JIVSIQ_clean,Zr,Unmodified,0,79.0,10.601721518987341,3.85875,0.209384,0.4546,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,196.5884950626522,6,3,5,KNN,232.26384478804098,6
WOYJID_clean,Ti,Unmodified,0,79.0,7.176911392405064,4.20354,0.141744,0.3326,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,131.90250008362,26,6,9,KNN,232.2622295054798,7
RAVCUO_clean,Nd,Unmodified,0,79.0,11.772759493670886,4.66502,0.232512,0.4046,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,9,KNN,232.24089732091608,8
BUSSEP_clean,Nd,Unmodified,0,79.0,11.176455696202531,5.87951,0.220735,0.4442,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,4,KNN,232.24047261338757,9
magnetochemistry3010001_PF290NdNO3_clean,Nd,Unmodified,0,79.0,12.053164556962026,4.34003,0.23805,0.435,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,3,KNN,113.87183738700531,10
OCIHIS_clean,Zr,Unmodified,0,79.0,15.920101265822783,4.00435,0.314422,0.4736,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,197.51823141260894,3,1,3,KNN,51.16673403608588,11
AVUPIR_SL,Zr,Unmodified,0,79.0,14.66060759493671,3.63524,0.289547,0.4362,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,197.51823141260894,3,1,1,KNN,51.15843655738484,12
