evaluation,fold,r2,mae,rmse,rows
doi_level,1,-0.007199636941195964,69.07780776815666,91.99036816628374,160
doi_level,2,0.0792383171950285,30.390085306611947,36.12365668398771,159
doi_level,3,0.4363282860130264,23.37661128107699,45.32249043929259,163
doi_level,4,-0.87699976404229,40.25157124542934,63.12964106841826,163
doi_level,5,-0.3625903714163121,48.06901428351197,62.82845922075058,156
