evaluation,fold,r2,mae,rmse,rows
material_family_level,1,0.11380050832885069,66.33519263909663,91.07199247280283,161
material_family_level,2,-1.2069079949148143,38.123492465627976,60.261418715645725,160
material_family_level,3,0.2921243839681531,25.10072360824322,32.599641621539874,160
material_family_level,4,0.5713308832623354,22.11467675423049,31.157741252882996,161
material_family_level,5,0.4300074101076511,29.505265637610098,45.145369934357305,159
