cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank
YOZBIZ01_clean,Zn,Unmodified,0,801.843,1.7485318198200897,8.46705,0.350512,0.5176,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.5920312715516,2411,425
CUVTIX_clean,Zn,Unmodified,0,778.692,1.745588756530181,6.7094,0.339819,0.5058,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.5920312715516,2412,425
GITVAH01_clean,Zn,Unmodified,0,841.568,1.7402800486710523,9.03293,0.366141,0.5302,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.5920312715516,2413,425
KAJZIH_clean,Cu,Unmodified,0,577.227,1.9215871745431174,8.4847,0.277298,0.4824,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,62.589388665098475,2414,199
BAMMOU_clean,Cu,Unmodified,0,1374.48,1.8548978522786799,11.01739,0.63738,0.6562,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,62.5644447178272,2415,200
OLURUI_charged,In,Unmodified,0,587.534,2.264951475148672,5.43214,0.332684,0.4958,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,62.542974055208155,2416,20
TITBUV_clean,Zn,Unmodified,0,1587.88,1.4101090762526136,6.67033,0.559771,0.6128,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2417,426
NATHUO_clean,Zn,Unmodified,0,1591.37,1.405641679810478,7.56745,0.559224,0.6018,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2418,426
RUGXUO_clean,Zn,Unmodified,0,1579.27,1.4043881033642125,7.5603,0.554477,0.6178,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2419,426
PIDMEV01_clean,Zn,Unmodified,0,1581.97,1.4272381903575921,7.72003,0.564462,0.5974,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2420,426
KEBRAM_clean,Zn,Unmodified,0,1569.55,1.4388327864674586,9.02539,0.56458,0.628,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2421,426
AQEQIW_clean,Zn,Unmodified,0,1567.33,1.438180855339973,6.30636,0.563526,0.6202,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2422,426
CUDPUO_clean,Zn,Unmodified,0,1574.37,1.4318844998316789,7.59472,0.563579,0.6286,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2423,426
PIFPIE_clean,Zn,Unmodified,0,1596.02,1.4058044385408703,7.85828,0.560923,0.5876,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.53104449190045,2424,426
FORPUY_clean,Nd,Unmodified,0,1688.19,1.4031477499570546,9.42246,0.592195,0.6696,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.530784729290936,2425,78
AFOVOH_clean,Nd,Unmodified,0,1587.32,1.4973212710732557,8.78847,0.594182,0.6228,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.530784729290936,2426,78
SATRIP_clean,Nd,Unmodified,0,1315.99,1.2172584898061536,5.64735,0.400475,0.609,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.498194684826025,2427,79
XOTHAP_clean,Nd,Unmodified,0,1318.53,1.240035494072945,5.67034,0.408756,0.6152,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.498194684826025,2428,79
XOTGUI_clean,Nd,Unmodified,0,1294.93,1.1926482512568248,5.14072,0.386099,0.6006,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.498194684826025,2429,79
CUDPOI_clean,Zn,Unmodified,0,1533.1,1.4918374535255365,7.77332,0.571784,0.637,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.48988827830356,2430,427
KUJNOT_clean,Zn,Unmodified,0,1481.57,1.5590839447343023,8.23736,0.577473,0.6114,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.48988827830356,2431,427
