feature,x,prediction,std,q05,q95
ci,0.0,21.84825381781988,1.9079626851585478,20.17393249319918,25.38110507517403
ci,12.658227848101266,24.978984444887786,1.4761096196202055,23.697155275875605,27.71035003494343
ci,25.31645569620253,28.31734495858722,1.133359027878481,27.172247476338235,30.309189646115808
ci,37.9746835443038,37.1878803245536,1.6842536742446017,35.738134523884945,40.239594262460514
ci,50.63291139240506,37.66703082441242,1.6850084346864551,36.12636274946206,40.781675187149496
ci,63.291139240506325,65.54057172750501,3.8418162007722714,55.11538560271054,65.89195021292758
ci,75.9493670886076,67.31172905546524,3.772047616345923,60.985766545328254,71.20288441046895
ci,88.60759493670886,71.24610273013437,3.9565020608128814,64.1363024726307,75.75757920123186
ci,101.26582278481013,72.47600409499022,2.9905275417035373,68.11296609357406,76.87760132606327
ci,113.92405063291139,72.58002543238565,3.3125586825896454,68.13376584861736,77.77249195626683
ci,126.58227848101265,77.94627307367195,3.188212617129879,71.99645171957907,80.92598150261804
ci,139.2405063291139,78.31071568060247,3.0626481692763154,72.57748708828892,81.12360116613152
ci,151.8987341772152,78.34631658859446,2.744051531450006,73.61559751432111,81.39061988345172
ci,164.55696202531647,79.98559577751499,3.4270827060351907,75.04558442780895,85.2031256201647
ci,177.21518987341773,85.76266806681328,3.18699619197535,78.96673408282754,87.82810335889853
ci,189.873417721519,85.90351493901687,3.0419268250043943,79.47609666741879,88.02532292254065
ci,202.53164556962025,85.97322142063346,3.0233546463506284,79.72037127103505,88.22697493794801
ci,215.18987341772151,86.416222201325,3.0561535641843376,80.16131468542687,88.63659335168478
ci,227.84810126582278,86.5829957245593,3.058881267617655,80.31930759765741,88.7546236525337
ci,240.50632911392404,86.7030850579877,3.0892109398773733,80.34062287181149,88.84986503330886
ci,253.1645569620253,86.98768520215272,3.1388659110169144,80.73219158494409,89.38314443923211
ci,265.82278481012656,87.06231883193881,3.2533269639736355,80.92802451888927,89.95896112744406
ci,278.4810126582278,87.30492511427349,2.8941659493073195,82.82510785538004,90.68641933496136
ci,291.1392405063291,94.48416307849058,4.64472370911201,87.9105938756787,101.26053141977313
ci,303.7974683544304,94.53074567400647,4.613954933542457,88.1218242222485,101.32287979926194
ci,316.45569620253167,94.52913233353918,4.62366493421649,88.12194144581846,101.35359638193637
ci,329.11392405063293,94.63821054678453,4.571259225643054,88.39573255341737,101.44034911864256
ci,341.7721518987342,94.96322294700396,4.575959976629429,88.42177855147536,101.3710319820276
ci,354.43037974683546,95.17672623456119,4.701450177583799,88.85445135429987,102.29257129911103
ci,367.0886075949367,95.14560783483357,4.70039423153732,88.81826926497699,102.27202799691437
ci,379.746835443038,95.16389302398204,4.668209284642168,89.33595988081592,103.01029180723307
ci,392.40506329113924,110.2266372544748,5.449394415641732,99.19750400221922,114.93503428686748
ci,405.0632911392405,110.22663725447482,5.449394415641728,99.19750400221922,114.93503428686746
ci,417.72151898734177,110.2266372544748,5.44939441564173,99.19750400221922,114.93503428686748
ci,430.37974683544303,110.2266372544748,5.449394415641733,99.19750400221922,114.93503428686748
ci,443.0379746835443,110.49825536603448,5.494129346577195,99.32468632081404,114.99090801780649
ci,455.69620253164555,112.56973365049753,6.3410390494655715,101.45861734279863,119.51906804561267
ci,468.3544303797468,112.56973365049753,6.341039049465578,101.45861734279863,119.5190680456127
ci,481.0126582278481,112.56973365049753,6.341039049465573,101.45861734279863,119.51906804561267
ci,493.67088607594934,112.56973365049753,6.3410390494655715,101.45861734279863,119.51906804561268
ci,506.3291139240506,112.56973365049753,6.341039049465574,101.45861734279863,119.51906804561267
ci,518.9873417721519,112.56973365049754,6.3410390494655715,101.45861734279863,119.51906804561268
ci,531.6455696202531,112.60766423726407,6.388836527907269,101.80739512241328,120.1321555870493
ci,544.3037974683544,112.60766423726407,6.383489290393495,101.82026046381345,120.13215558704927
ci,556.9620253164557,112.60766423726409,6.453111921303697,101.82026046381345,120.13215558704928
ci,569.620253164557,112.60766423726407,6.453111921303697,101.82026046381345,120.13215558704928
ci,582.2784810126582,113.99846792409951,6.617535363672224,102.45048054436528,121.51642442684083
ci,594.9367088607595,113.9984679240995,6.617535363672225,102.45048054436528,121.51642442684083
ci,607.5949367088608,114.26150294922246,6.606662447187143,103.19929568408084,122.05393687056957
ci,620.253164556962,114.26150294922245,6.606662447187141,103.19929568408085,122.05393687056957
ci,632.9113924050633,140.56416630832027,10.268178744765056,117.08421219940948,146.96904788723927
ci,645.5696202531645,147.97033528842303,10.139747971288475,122.06598431234033,151.98006857759896
ci,658.2278481012659,147.97033528842303,10.251240878491775,122.96396790266667,152.42213390770988
ci,670.8860759493671,147.970335288423,10.23970297038855,123.0205085549763,152.45730653220704
ci,683.5443037974684,148.03638341008912,10.457698823718767,123.0205085549763,152.52769502994525
ci,696.2025316455696,148.7061619324511,9.931933886174921,126.26301067354453,154.22186251402243
ci,708.8607594936709,148.9249180706117,9.634287790844013,127.06951062337805,154.31982558032843
ci,721.5189873417721,151.14772640070683,11.178665395879923,129.31849256274083,160.78596515363148
ci,734.1772151898734,155.5663705283257,10.84092035133431,130.78572444136805,160.78596515363148
ci,746.8354430379746,155.58601229964094,10.460534709228943,131.74130354946035,160.7859651536315
ci,759.493670886076,156.1856730256364,10.301138424058257,133.43938695131513,161.1582120283918
ci,772.1518987341772,156.59316974690657,10.259537391000407,134.55579615461883,162.8649187067564
ci,784.8101265822785,156.741911111867,10.035617375629332,135.06044996499085,162.92102074527966
ci,797.4683544303797,156.741911111867,10.035617375629338,135.06044996499085,162.9210207452797
ci,810.126582278481,156.90285942647378,10.040992062534889,135.06044996499085,162.9210207452797
ci,822.7848101265823,156.90285942647375,10.046551511799704,135.04841853106896,162.9210207452797
ci,835.4430379746835,156.96321969042953,10.005755000082434,135.2402905217354,163.04134292291477
ci,848.1012658227849,158.25161977947914,9.983039498435343,135.3707282240123,163.11759948123475
ci,860.7594936708861,158.2516197794791,9.983039498435351,135.3707282240123,163.11759948123475
ci,873.4177215189874,158.25161977947914,9.982095744295576,135.3707282240123,163.11759948123475
ci,886.0759493670886,158.41256285132616,10.027903237237231,135.69002029518552,163.30772026992378
ci,898.7341772151899,158.41256285132613,10.027903237237235,135.69002029518552,163.30772026992378
ci,911.3924050632911,158.46965357125958,10.046379533012594,135.69002029518552,163.30772026992378
ci,924.0506329113924,158.46965357125956,10.046379533012598,135.69002029518552,163.30772026992378
ci,936.7088607594936,158.62547754129702,10.034126838787955,135.72884922776979,163.30772026992378
ci,949.367088607595,158.62547754129702,10.034126838787959,135.72884922776979,163.3077202699238
ci,962.0253164556962,158.62547754129702,10.180617059669489,136.4960186992097,163.9965613506499
ci,974.6835443037975,158.62547754129702,9.988643516339899,136.90996409246816,163.9965613506499
ci,987.3417721518987,158.62547754129702,9.988643516339915,136.90996409246813,163.9965613506499
ci,1000.0,158.62547754129702,9.988643516339913,136.90996409246813,163.9965613506499
ad,0.0,69.01809788112098,3.4233234931737915,62.55984888009293,72.94422272678902
ad,168.53932584269663,61.875414820914244,1.353662097998898,59.81772076261817,63.758882638536754
ad,337.07865168539325,61.432054944850094,1.3375246302568335,59.60120337137654,63.52493522623993
ad,505.6179775280899,60.75914156865294,1.3592078908976326,58.869475289246914,62.90651058200309
ad,674.1573033707865,59.35285773323009,1.393021326733737,57.48342909288516,61.496258761799766
ad,842.6966292134831,52.73769946030442,1.1245312542687396,51.12176041377225,54.33265258312362
ad,1011.2359550561798,52.9677374696877,1.299526493780029,51.78876839789323,55.744531558285
ad,1179.7752808988764,52.87929970772743,1.313733696530268,51.68043705561399,55.69848180053702
ad,1348.314606741573,52.84446119433141,1.3087248024409175,51.59509450832636,55.58549068614127
ad,1516.8539325842696,36.766500078585004,2.4828220757601267,34.241298656693445,41.176341536445584
ad,1685.3932584269662,36.766500078585,2.482825860263725,34.23606073386565,41.164010728751556
ad,1853.9325842696628,36.76818504737401,2.4835668766963126,34.23355160286868,41.164010728751556
ad,2022.4719101123596,36.760155070955655,2.4829470414410966,34.23806919533123,41.16524356270911
ad,2191.0112359550562,36.76015507095565,2.482947041441097,34.23806919533123,41.16524356270911
ad,2359.550561797753,36.760155070955655,2.4829470414410952,34.23806919533123,41.16524356270911
ad,2528.0898876404494,36.760155070955655,2.4829470414410943,34.23806919533123,41.1652435627091
ad,2696.629213483146,36.76015507095565,2.482947041441097,34.23806919533123,41.165243562709115
ad,2865.1685393258426,36.76015507095565,2.4829470414410975,34.23806919533123,41.165243562709115
ad,3033.7078651685392,36.76015507095565,2.483119403330135,34.23806919533123,41.16524356270911
ad,3202.247191011236,36.76015507095565,2.483119403330136,34.23806919533123,41.16524356270911
ad,3370.7865168539324,36.76015507095565,2.4831194033301367,34.23806919533123,41.16524356270911
ad,3539.325842696629,36.76015507095565,2.4831194033301363,34.23806919533123,41.16524356270911
ad,3707.8651685393256,36.76015507095565,2.483119403330136,34.23806919533123,41.16524356270911
ad,3876.404494382022,36.76015507095565,2.4831194033301354,34.23806919533123,41.16524356270911
ad,4044.9438202247193,36.760155070955655,2.4831194033301367,34.23806919533123,41.16524356270911
ad,4213.483146067416,36.76015507095565,2.4831194033301367,34.23806919533123,41.16524356270911
ad,4382.0224719101125,36.760155070955655,2.4831194033301367,34.23806919533123,41.16524356270911
ad,4550.561797752809,36.76015507095565,2.4831194033301354,34.23806919533123,41.16524356270911
ad,4719.101123595506,36.760155070955655,2.483119403330137,34.23806919533123,41.16524356270911
ad,4887.640449438202,36.76015507095565,2.4831194033301376,34.23806919533123,41.16524356270911
ad,5056.179775280899,36.76015507095565,2.4831194033301367,34.23806919533123,41.16524356270911
ad,5224.7191011235955,36.760155070955655,2.483119403330135,34.23806919533123,41.16524356270911
ad,5393.258426966292,36.76015507095565,2.483119403330135,34.23806919533123,41.16524356270911
ad,5561.797752808989,36.76015507095565,2.483119403330137,34.23806919533123,41.16524356270911
ad,5730.337078651685,36.76015507095565,2.483119403330136,34.23806919533123,41.16524356270911
ad,5898.876404494382,36.76015507095565,2.4831194033301345,34.23806919533123,41.16524356270911
ad,6067.4157303370785,36.76015507095565,2.4831194033301354,34.23806919533123,41.16524356270911
