model,params_json,mean_r2,std_r2,mean_mae,mean_rmse
SVR,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": 0.1}",0.6047802002035831,0.059019115910613464,21.968046545539128,39.379238280750506
SVR,"{""C"": 10.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",0.5209356526729774,0.0537331886790284,23.989074881865726,43.36131804849062
SVR,"{""C"": 10.0, ""epsilon"": 1.0, ""gamma"": ""scale""}",0.5202040803972997,0.05448818974316737,24.04288152920978,43.39574082406919
SVR,"{""C"": 1.0, ""epsilon"": 1.0, ""gamma"": 0.1}",0.05744359504316833,0.06413963760715886,32.9846391624313,60.88021344806559
SVR,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": 0.1}",0.056692857151761165,0.06404616329327165,32.97343562620839,60.90442318837593
SVR,"{""C"": 1.0, ""epsilon"": 0.5, ""gamma"": ""scale""}",0.05420880613011547,0.06610381063067192,33.43163322096585,60.972460854114686
SVR,"{""C"": 1.0, ""epsilon"": 1.0, ""gamma"": ""scale""}",0.054103885529884696,0.065969490092734,33.43767233169295,60.976761771906595
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 5, ""n_estimators"": 250, ""subsample"": 0.8}",0.9174480541610983,0.030907767356203073,10.419755953320514,17.366535759928276
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 5, ""n_estimators"": 250, ""subsample"": 0.8}",0.9174394504944914,0.03091221038235677,10.419971895635628,17.367303715650337
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 250, ""subsample"": 0.8}",0.9169846285915497,0.031122970929179095,10.474384968197258,17.41312372502853
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 250, ""subsample"": 0.8}",0.9169601087037546,0.031136953924646184,10.474343203182926,17.415004416192915
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 7, ""n_estimators"": 250, ""subsample"": 0.8}",0.9064396938747773,0.029268256832307313,11.102488684492993,18.66891613037401
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 7, ""n_estimators"": 250, ""subsample"": 0.8}",0.906433371835813,0.0292604723796612,11.101971246100415,18.66980743690339
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 7, ""n_estimators"": 250, ""subsample"": 0.8}",0.9062635358923888,0.02921269829556538,11.124059965705342,18.685905197762477
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 7, ""n_estimators"": 250, ""subsample"": 0.8}",0.9062220730313342,0.029226678484933016,11.123822775316004,18.690455607261942
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",0.8915894102236998,0.032678563397923466,12.566220369895063,20.101914054913074
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",0.891581937259302,0.03268189632463935,12.567437184574928,20.102437085239156
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",0.8910370301434807,0.03312844091358653,12.603914027764826,20.145798800761106
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",0.8910248571236314,0.033154589060030444,12.60459091703721,20.146690480354923
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 7, ""n_estimators"": 200, ""subsample"": 0.8}",0.8784139203359171,0.030779671913211577,13.175292280402948,21.425221085033492
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 15, ""min_child_weight"": 7, ""n_estimators"": 200, ""subsample"": 0.8}",0.8784071443441013,0.03077734662300465,13.176396818299116,21.425893274310074
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 7, ""n_estimators"": 200, ""subsample"": 0.8}",0.8782256576606876,0.03071923995833016,13.188604184209328,21.441808269431867
XGB,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_weight"": 7, ""n_estimators"": 200, ""subsample"": 0.8}",0.8782144434020921,0.030723469164375558,13.187582340060692,21.443032366513073
