feature,reproduced_importance
CI,31.466552810478355
MPD,27.33988158215205
pH,12.133968805346864
AD,11.379730890418413
Time,4.3710115556449365
MT,4.077582343372108
PD,2.4614192361750953
ModM,2.4177462153453866
SA,2.063927142443957
PV,1.8524215384028115
Tem,0.4357578802200381
